Age,Gender,Occupation,MonthlyDisposableIncome,HealthConsciousness,ExerciseFrequency,ConsumptionFrequency,TryNewBrand,SubscribePlan,SpendPerServing,PackagingFormat,PurchaseChannel,TopHealthBenefit,RecommendLikelihood,CurrentBrands,ExtraFeatures,Flavour_MixedBerry,Flavour_Mango,Flavour_GreenTea,Flavour_Chocolate,Flavour_Coffee,Flavour_Herbal,Flavour_Other,Context_PostWorkout,Context_Breakfast,Context_Afternoon,Context_Evening,Context_SpecialOccasion,Barrier_HighPrice,Barrier_PoorTaste,Barrier_LackTrust,Barrier_HardToFind,Barrier_UnsustainablePack,Rank_Taste,Rank_Price,Rank_NutritionalValue,Rank_BrandReputation,Rank_Packaging
18,Male,Student,1946,4,3-4,Monthly,No,Yes,6.2,Bottle,Supermarket,Weight management,4,BrandD,None,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,4,3,5,2
60,Other,Student,1455,4,5+,Weekly,No,No,1.03,Bottle,Online retailer,Energy boost,4,BrandB,None,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4,3,5,1,2
39,Female,Retired,1249,4,3-4,Weekly,No,Yes,3.66,Powder sachet,Supermarket,Immune support,5,BrandD,Eco packaging,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,5,4,2
20,Male,Student,13379,4,1-2,Weekly,Yes,Yes,27.96,Can,Supermarket,Muscle recovery,4,BrandC,No artificial flavors,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,5,1,3,2,4
20,Female,Working professional,2790,3,1-2,Monthly,No,No,6.64,Tetra Pak,Supermarket,Weight management,4,BrandD,No artificial flavors,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,5,4
20,Female,Working professional,19543,2,5+,Weekly,Yes,Yes,39.89,Can,Online retailer,Digestive health,1,BrandB,Organic,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,3,2,5,1,4
22,Male,Working professional,3034,4,1-2,Never,Yes,No,7.33,Bottle,Pharmacy,Immune support,3,BrandA,Organic,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5,2,1,3,4
26,Female,Homemaker,1057,4,3-4,Never,No,No,5.12,Can,Online retailer,Immune support,5,BrandC,No artificial flavors,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,3,4,2
24,Female,Student,1799,1,None,Rarely,No,No,2.5,Jar,Online retailer,Digestive health,4,BrandC,Gluten-free,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,5,4,1,3
22,Male,Working professional,14946,4,None,Weekly,Yes,No,28.08,Bottle,Convenience store,Weight management,5,None,Organic,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,4,3,1,2
29,Female,Other,4271,2,3-4,Monthly,Yes,No,10.11,Jar,Gym/Fitness centre,Energy boost,4,BrandA,None,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,3,2,5,4,1
19,Male,Working professional,3001,4,3-4,Never,Yes,No,2.24,Can,Pharmacy,Energy boost,5,BrandC,Organic,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,3,4,5
22,Female,Retired,5676,4,1-2,Rarely,Yes,Yes,12.66,Bottle,Online retailer,Energy boost,2,BrandB,Eco packaging,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,4,2,5
23,Other,Student,7720,4,1-2,Weekly,No,Yes,16.39,Can,Pharmacy,Energy boost,1,BrandB,Gluten-free,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,3,5,2,1,4
25,Female,Working professional,13436,5,5+,Daily,Yes,No,22.18,Bottle,Online retailer,Immune support,4,BrandD,Organic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,5,2,3
36,Male,Working professional,18100,3,1-2,Daily,Yes,No,34.93,Bottle,Supermarket,Immune support,4,None,Organic,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,4,5
20,Female,Self-employed,3555,5,3-4,Monthly,Yes,No,10.26,Jar,Supermarket,Muscle recovery,3,BrandD,Low sugar,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,3,2,4
26,Female,Other,1490,4,5+,Monthly,Yes,Yes,1.0,Powder sachet,Supermarket,Muscle recovery,4,BrandA,None,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,4,1,3,5
28,Male,Working professional,3388,4,1-2,Rarely,Yes,Yes,7.2,Jar,Supermarket,Weight management,4,BrandB,No artificial flavors,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,2,5,4
18,Female,Working professional,6212,4,5+,Weekly,No,Yes,10.41,Jar,Pharmacy,Energy boost,5,BrandA,Low sugar,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,1,4,5
29,Male,Working professional,2064,4,1-2,Daily,Yes,No,2.71,Powder sachet,Gym/Fitness centre,Immune support,2,BrandB,None,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,5,2,4,1
20,Female,Working professional,2077,4,3-4,Weekly,Yes,No,7.99,Powder sachet,Convenience store,Energy boost,2,BrandC,Eco packaging,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,3,1,2,4
18,Male,Working professional,6697,4,1-2,Weekly,Yes,No,13.64,Bottle,Online retailer,Muscle recovery,5,BrandC,Low sugar,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,2,3,5,4
53,Male,Other,4704,2,5+,Daily,Yes,Yes,10.44,Can,Gym/Fitness centre,Energy boost,4,BrandD,No artificial flavors,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,1,4,5
58,Male,Working professional,5062,1,1-2,Monthly,No,Yes,9.9,Bottle,Supermarket,Digestive health,4,BrandC,No artificial flavors,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,2,5,3,1,4
37,Female,Working professional,2483,4,1-2,Monthly,Yes,No,1.94,Can,Online retailer,Muscle recovery,1,BrandC,Low sugar,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,3,2,4,5,1
22,Male,Student,3994,3,5+,Rarely,No,No,5.62,Powder sachet,Gym/Fitness centre,Muscle recovery,5,BrandC,No artificial flavors,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,4,3,1
19,Female,Working professional,2139,4,3-4,Weekly,Yes,Yes,6.63,Bottle,Pharmacy,Energy boost,5,BrandB,Organic,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,4
31,Male,Working professional,10951,2,3-4,Weekly,Yes,No,22.21,Tetra Pak,Online retailer,Weight management,5,BrandB,High protein,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,5,3,1,4,2
24,Male,Working professional,12478,4,1-2,Weekly,Yes,Yes,23.42,Tetra Pak,Online retailer,Weight management,5,BrandA,Low sugar,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,4,5,1,2,3
19,Female,Homemaker,933,5,3-4,Rarely,Yes,No,4.47,Bottle,Supermarket,Energy boost,4,None,Low sugar,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,4,5,3,2,1
26,Female,Working professional,2129,5,None,Daily,No,No,5.58,Bottle,Gym/Fitness centre,Digestive health,4,None,None,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2,1,5
18,Male,Working professional,1278,4,None,Rarely,Yes,No,3.46,Can,Pharmacy,Digestive health,4,BrandD,No artificial flavors,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,5,1,2,4,3
46,Female,Student,2738,4,3-4,Weekly,Yes,No,3.94,Bottle,Online retailer,Weight management,5,BrandC,Organic,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,3,4,5
21,Female,Homemaker,4559,5,1-2,Rarely,Yes,Yes,5.97,Can,Supermarket,Weight management,5,BrandC,Gluten-free,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,2,5,3
31,Female,Self-employed,1333,4,5+,Rarely,Yes,No,1.85,Can,Supermarket,Digestive health,4,BrandB,None,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,5,3,1
22,Male,Student,2144,3,5+,Weekly,No,No,6.51,Can,Online retailer,Energy boost,3,BrandA,Organic,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,4,2,3,5
26,Male,Self-employed,1991,5,3-4,Monthly,Yes,No,5.69,Bottle,Online retailer,Energy boost,5,BrandB,Gluten-free,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,5,3,2,1
27,Female,Working professional,5923,4,5+,Daily,Yes,No,12.67,Can,Supermarket,Energy boost,4,None,High protein,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,5,2,1,4
20,Male,Student,5231,4,3-4,Rarely,No,Yes,10.12,Bottle,Pharmacy,Energy boost,3,BrandA,Gluten-free,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,5,3
59,Female,Working professional,2567,3,1-2,Weekly,Yes,No,4.1,Powder sachet,Supermarket,Weight management,4,BrandC,Gluten-free,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,5,3,4,1,2
35,Female,Working professional,5763,2,3-4,Weekly,Yes,No,11.22,Bottle,Supermarket,Energy boost,5,None,High protein,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,4,5,2,1,3
51,Female,Working professional,3005,5,1-2,Rarely,Yes,Yes,7.57,Powder sachet,Gym/Fitness centre,Muscle recovery,3,BrandB,None,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,5,2,4,3
45,Female,Retired,3849,4,1-2,Rarely,No,No,9.72,Tetra Pak,Online retailer,Muscle recovery,2,BrandC,None,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,3,1,5,4
28,Other,Self-employed,22161,3,5+,Weekly,No,Yes,43.8,Jar,Pharmacy,Weight management,1,None,Organic,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,3,4,5,2
48,Male,Working professional,16423,3,3-4,Monthly,Yes,Yes,37.92,Bottle,Supermarket,Weight management,3,BrandC,None,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,5,2,3,1
19,Female,Working professional,1526,4,5+,Weekly,Yes,Yes,9.08,Bottle,Supermarket,Digestive health,3,BrandD,No artificial flavors,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,4,2,3,5,1
20,Male,Working professional,10371,4,1-2,Weekly,No,No,20.05,Can,Supermarket,Muscle recovery,5,BrandB,Gluten-free,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,2,3,5
18,Male,Working professional,10201,3,3-4,Monthly,Yes,No,23.35,Bottle,Supermarket,Energy boost,3,BrandD,None,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,2,4,5,1,3
22,Female,Working professional,1749,5,None,Weekly,Yes,No,1.0,Powder sachet,Pharmacy,Weight management,5,BrandA,No artificial flavors,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,1,4,3,2
23,Female,Student,10269,2,3-4,Weekly,Yes,No,21.5,Bottle,Supermarket,Energy boost,2,BrandA,Low sugar,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,3,4,5
21,Other,Working professional,19617,4,3-4,Rarely,No,Yes,39.09,Powder sachet,Convenience store,Weight management,5,BrandC,None,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,2,4,3
39,Female,Self-employed,1790,4,3-4,Daily,Yes,Yes,6.48,Jar,Gym/Fitness centre,Immune support,3,BrandB,Low sugar,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,3,5,2,4
23,Male,Working professional,2152,3,1-2,Monthly,Yes,Yes,5.51,Bottle,Online retailer,Energy boost,4,None,No artificial flavors,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,3,1,4,5
21,Male,Student,12282,5,None,Weekly,Yes,No,24.84,Tetra Pak,Convenience store,Muscle recovery,3,BrandB,Eco packaging,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,2,3,1,4
27,Female,Self-employed,6275,4,1-2,Daily,Yes,No,13.88,Bottle,Supermarket,Energy boost,4,BrandD,Low sugar,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,5,4,2,3
19,Male,Working professional,8073,5,3-4,Daily,No,Yes,14.03,Bottle,Supermarket,Immune support,2,BrandA,None,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,4,3
37,Male,Working professional,6678,2,5+,Monthly,Yes,No,15.29,Bottle,Gym/Fitness centre,Weight management,4,None,Organic,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,5,3,2,4
18,Male,Working professional,6986,2,1-2,Rarely,Yes,No,11.28,Powder sachet,Supermarket,Weight management,3,BrandB,None,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,2,3,5,1,4
70,Male,Working professional,1489,3,3-4,Daily,Yes,Yes,3.69,Can,Convenience store,Muscle recovery,5,BrandA,None,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,4,2,1
35,Male,Self-employed,12614,4,5+,Daily,Yes,No,25.3,Tetra Pak,Convenience store,Muscle recovery,3,BrandD,High protein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,5
20,Male,Working professional,14082,4,3-4,Never,No,No,24.64,Bottle,Convenience store,Muscle recovery,3,None,High protein,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3,4,1,5,2
18,Male,Working professional,3998,5,3-4,Daily,Yes,No,8.13,Can,Convenience store,Muscle recovery,3,None,Eco packaging,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,1,2,3,5
38,Male,Homemaker,4726,4,5+,Rarely,No,Yes,10.02,Bottle,Online retailer,Weight management,4,BrandA,No artificial flavors,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,2,5,4
32,Other,Homemaker,1239,5,1-2,Weekly,Yes,No,1.17,Bottle,Online retailer,Weight management,2,BrandC,No artificial flavors,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,3,2,5,4
33,Male,Homemaker,7807,4,1-2,Rarely,Yes,No,13.59,Bottle,Supermarket,Muscle recovery,3,BrandC,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,5,3
35,Male,Working professional,8224,3,None,Weekly,Yes,Yes,17.43,Can,Gym/Fitness centre,Muscle recovery,4,BrandD,Eco packaging,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,5,4,1,3
18,Female,Working professional,4647,3,5+,Rarely,Yes,No,10.02,Tetra Pak,Supermarket,Energy boost,2,BrandB,None,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,4,1,3,5,2
23,Male,Other,13520,4,5+,Rarely,Yes,Yes,27.49,Bottle,Pharmacy,Muscle recovery,4,BrandB,Eco packaging,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,5,4,2
19,Female,Self-employed,3639,3,3-4,Weekly,No,No,7.3,Powder sachet,Convenience store,Immune support,2,None,No artificial flavors,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,5,2,4
41,Female,Student,8169,2,None,Daily,Yes,No,15.2,Bottle,Supermarket,Digestive health,4,None,Low sugar,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,4,2,5,3,1
29,Male,Student,1963,4,3-4,Rarely,Yes,No,8.47,Can,Supermarket,Energy boost,5,BrandD,No artificial flavors,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,4,3,2
22,Male,Working professional,4812,5,1-2,Monthly,No,Yes,9.03,Bottle,Online retailer,Weight management,3,BrandD,None,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,2,3,4,5
18,Female,Retired,4201,2,None,Daily,No,Yes,6.67,Bottle,Gym/Fitness centre,Weight management,3,BrandC,Gluten-free,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,3,1,4
22,Female,Working professional,6020,5,3-4,Daily,Yes,Yes,12.15,Powder sachet,Gym/Fitness centre,Weight management,5,BrandA,Gluten-free,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,5,3
22,Male,Working professional,3524,5,5+,Rarely,Yes,Yes,6.69,Jar,Online retailer,Weight management,4,BrandD,Gluten-free,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1,4
33,Female,Student,4366,4,5+,Weekly,Yes,Yes,8.09,Tetra Pak,Pharmacy,Weight management,4,BrandC,Low sugar,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,3,1,2,5,4
30,Male,Working professional,10337,2,3-4,Monthly,No,No,24.42,Powder sachet,Supermarket,Energy boost,4,BrandB,Organic,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,5,3,1,4
44,Other,Self-employed,3317,3,None,Weekly,No,Yes,4.37,Jar,Online retailer,Energy boost,3,None,No artificial flavors,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,2,5,1,3
25,Male,Working professional,1158,4,1-2,Rarely,No,No,2.39,Tetra Pak,Online retailer,Energy boost,5,None,No artificial flavors,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,5,1,4
19,Female,Self-employed,23733,4,1-2,Never,No,Yes,45.34,Jar,Supermarket,Weight management,4,None,Low sugar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,5,2,1
32,Female,Other,17040,5,3-4,Never,Yes,No,33.0,Bottle,Online retailer,Energy boost,4,BrandB,Organic,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,4,5,1
35,Female,Working professional,1536,4,5+,Daily,No,No,6.54,Can,Pharmacy,Energy boost,5,BrandC,None,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1,4
27,Female,Working professional,9143,2,1-2,Rarely,Yes,No,18.85,Jar,Convenience store,Energy boost,4,None,Eco packaging,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,4,5
35,Male,Working professional,3125,2,3-4,Weekly,Yes,No,6.79,Bottle,Online retailer,Digestive health,4,BrandB,No artificial flavors,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,3,4,2
26,Male,Self-employed,6230,4,None,Monthly,Yes,Yes,10.58,Powder sachet,Convenience store,Digestive health,5,BrandD,Eco packaging,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,3,5,2
26,Male,Working professional,6405,3,1-2,Monthly,No,Yes,11.96,Bottle,Supermarket,Weight management,3,None,Organic,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,5,3,1,2
24,Male,Working professional,3980,3,3-4,Daily,No,Yes,11.61,Powder sachet,Convenience store,Digestive health,2,BrandC,Eco packaging,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,4,3,1,5
18,Female,Self-employed,2427,4,1-2,Never,Yes,Yes,5.85,Bottle,Supermarket,Energy boost,3,None,Low sugar,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,5,2,3
19,Male,Working professional,2640,1,3-4,Daily,No,No,4.6,Bottle,Online retailer,Muscle recovery,5,BrandC,None,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,2,5,3,4
18,Male,Retired,2155,3,5+,Monthly,No,Yes,17.57,Bottle,Supermarket,Energy boost,4,BrandA,Organic,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,5
30,Other,Working professional,11796,4,3-4,Rarely,Yes,No,24.13,Powder sachet,Pharmacy,Digestive health,3,BrandA,None,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,3,5,4,2
22,Female,Working professional,4626,3,None,Rarely,Yes,Yes,7.57,Bottle,Supermarket,Energy boost,3,BrandD,High protein,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,5,1,3
26,Female,Working professional,2581,2,1-2,Daily,No,No,4.42,Tetra Pak,Supermarket,Energy boost,2,BrandA,Eco packaging,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2,3,5,1
46,Other,Self-employed,9080,4,3-4,Weekly,Yes,No,22.67,Tetra Pak,Online retailer,Energy boost,2,BrandC,None,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,4,3,1,2,5
21,Male,Working professional,18742,5,1-2,Rarely,Yes,Yes,38.27,Bottle,Supermarket,Immune support,5,BrandA,Organic,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,1,2,3,5
24,Male,Homemaker,2916,3,1-2,Weekly,No,Yes,2.69,Powder sachet,Supermarket,Energy boost,4,None,Low sugar,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,3,1,5
34,Female,Retired,6096,5,3-4,Weekly,No,No,13.21,Bottle,Online retailer,Weight management,5,BrandA,No artificial flavors,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,1,3,5,2
21,Female,Working professional,7706,4,3-4,Weekly,Yes,No,18.02,Tetra Pak,Supermarket,Weight management,4,BrandC,None,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,5,4,2,3
18,Male,Other,7516,4,3-4,Weekly,No,Yes,13.22,Can,Supermarket,Digestive health,4,BrandC,Low sugar,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,2,4,3
22,Female,Student,5262,5,1-2,Rarely,Yes,Yes,9.61,Bottle,Supermarket,Weight management,4,None,Organic,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,2,3,1,4
20,Male,Working professional,9589,4,5+,Weekly,Yes,No,22.09,Bottle,Supermarket,Muscle recovery,5,BrandB,No artificial flavors,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,5,3,2,1,4
49,Male,Working professional,7586,5,1-2,Monthly,Yes,No,15.24,Tetra Pak,Online retailer,Weight management,5,None,Gluten-free,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,5,1,3,2
37,Female,Homemaker,1613,2,None,Weekly,Yes,Yes,2.94,Powder sachet,Online retailer,Muscle recovery,5,BrandB,Organic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,4,1,5
30,Female,Working professional,10745,2,3-4,Weekly,No,No,18.82,Bottle,Online retailer,Energy boost,4,BrandB,No artificial flavors,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,4,3,5
42,Female,Working professional,10922,5,3-4,Daily,Yes,No,23.99,Bottle,Supermarket,Weight management,2,BrandC,No artificial flavors,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
37,Male,Working professional,2473,4,5+,Weekly,Yes,No,4.57,Powder sachet,Online retailer,Digestive health,4,BrandC,Low sugar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,3,4,5
20,Female,Working professional,5085,3,3-4,Weekly,Yes,No,5.83,Bottle,Online retailer,Muscle recovery,2,BrandC,Gluten-free,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,4,5,2
44,Male,Student,9091,4,5+,Monthly,No,No,15.04,Can,Supermarket,Immune support,2,BrandD,No artificial flavors,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,5,2,4,3,1
27,Male,Homemaker,4071,5,5+,Weekly,Yes,Yes,7.02,Can,Supermarket,Digestive health,3,BrandB,None,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,5,3
37,Female,Self-employed,12909,5,3-4,Weekly,Yes,No,23.67,Bottle,Supermarket,Weight management,4,BrandA,High protein,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,5,3,4
45,Female,Working professional,41253,3,3-4,Weekly,Yes,Yes,80.67,Tetra Pak,Supermarket,Muscle recovery,4,BrandB,Low sugar,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,2,5,4,1,3
22,Female,Other,2423,5,3-4,Weekly,No,No,9.54,Powder sachet,Supermarket,Digestive health,3,None,Eco packaging,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,5,4,3
19,Female,Working professional,1418,1,5+,Never,Yes,Yes,4.25,Can,Supermarket,Energy boost,4,BrandD,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,1,5,3
